"W jednorodnym polu elektrycznym, przy stałej wartości potencjału elektrycznego natężenie tego pola:","Również pozostaje stałe","Wzrasta wraz z odległością","Maleje wraz z odległością","Żadna z odpowiedzi nie jest poprawna"
"Rezystywność","Nie zależy ani od przekroju przewodnika ani od jego długości","Wzrasta wraz z długością przewodnika","Wzrasta wraz z powierzchnią przewodnika","Maleje wraz z długością przewodnika"
"Strumień pola magnetycznego jest","Żadna z odpowiedzi nie jest prawidłowa","Wielkością wektorową wyrażoną w [Hr]","Wielkością wektorową wyrażoną w [Wb]","Wielkością skalarną wyrażoną w [Hr]"
"Siła elektromotoryczna to:","Żadna z powyższych odpowiedzi nie jest prawidłowa","Siła oddziałujące między dwoma ładunkami elektrycznymi, bedącymi w ruchu","Siła działająca na przewodnik z prądem w polu magnetycznym","Siła działająca na ładunki punktowe umieszczone w polu magnetycznym"
"Które ze stwierdzeń nie jest słuszne dla paramagnetyków?","Jeżeli pole jest niejednorodne, materiał paramagnetyczny jest wypychany z obszaru silniejszego pola magnetycznego","W nieobecności zewnętrznego pola magnetycznego paramagnetyk nie jest namagnesowany","W zewnętrznym polu magnetycznym paramagnetyk magnesuje się zgodnie z tym polem","W zewnętrznym polu magnetycznym paramagnetyki ustawiają się wzdłuż lini pola magnetycznego"
"Które z podanych niżej jest równaniem soczewki","1/f = 1/x + 1/y","Z = 1/f;","f = (nwzg − 1)( 1/R1 + 1/R2 )","p = H/h"
"Które z poniższych zdań dotyczących interferencji fal świetlnych nie jest prawdziwe","Warunkiem dobrze określonego obrazu interferencyjnego jest aby interferujące fale świetlne miały dokładnie określoną, zmienną w czasie różnicę faz","Różnica faz fal składowych decyduje o natężeniu światła w punkcie nałożenia się fal","W każdej chwili wychylenie punktu przestrzeni jest sumą wychyleń docierających do niego zaburzeń składowych","Różnica dróg optycznych przebytych przez fale składowe decyduje o natężeniu światła w punkcie nałożenia się fal"
"Podstawową zasadą optyki falowej, opisującą sposób rozchodzenia się fal świetlnych jest zasada","Huygensa","Heisenberga","Younga","Fermata"
"Które ze stwierdzeń nie jest zgodne z postulatami Bohra","Elektron poruszający się po orbicie stacjonarnej wypromieniowuje energię elektromagnetyczną","elektron w atomie wodoru porusza się po kołowej orbicie dookoła jądra pod wpływem siły coulombowskiej i zgodnie z prawami dynamiki Newtona","Elektron może się poruszać po takiej orbicie, dla której moment pędu jest równy wielokrotności stałej Planck’a","Przechodząc z wyższego do niższego stanu energetycznego, atom wypromieniowuje kwant energii równy różnicy energii poziomów energetycznych, pomiędzy ktorymi nastąpiło przejście"
"W rozpadzie β- liczba atomowa pierwiastka:","Wzrasta o 1","Maleje o 1","Maleje o 2","Nie ulega zmianie"
"Protony to","Hadrony","Mezony","Bozony","Leptony"
"Cechą izolatorów jest","Całkowite osadzenie pasma walencyjnego","Duża konduktywność","Obceność elektronów w paśmie przewodnictwa","Szerokość pasma zabronionego - 0.1eV"
"Wskaż zdanie prawdziwe","Przewodnictwo typu n polega na przemieszczeniu elektronów w paśmie przewodzenia w kierunku przeciwnym do wektora zewnętrznego pola elektrycznego.","Przewodnictwo typu n polega na przemieszczeniu elektronów w paśmie podstawowym w kierunku zgodnym z wektorem zewnętrznego pola elektrycznego.","Przewodnictwo typu p polega na przemieszczeniu elektronów w paśmie podstawowym w kierunku zgodnym z wektorem zewnętrznego pola elektrycznego.","Przewodnictwo typu p polega na przemieszczeniu elektronów w paśmie przewodzenia w kierunku zgodnym z wektorem zewnętrznego pola elektrycznego."
"Emisja energetyczna promieniowania ciała doskonale czarnego jest","Proporcjonalna do temperatury w 4 potędze","Proporcjonalna do temperatury w 2 potędze","Odwrotnie proporcjonalna do temperatury","Odwrotnie proporcjonalna do długości fali"
"Która z poniższych cech fotonów jest prawdziwa?","Gdy przechodzi przez ośrodek (inny niż próżnia) zmienia się długość fali z nim stowarzyszonej","Posiada stałą prędkość","Gdy przechodzi przez ośrodek (inny niż próżnia) zmienia się częstotliwość fali z nim stowarzyszonej.","Posiada masę spoczynkową"
"Które ze stwierdzeń nie jest prawdziwe dla zjawiska fotoelektrycznego zewnętrznego","Natężenie promieniowania (światła) nie wpływa na natężenie prądu (fotoprądu)","Energia kinetyczna emitowanych elektronów zależy od częstotliwości (długości) fali, nie zależy od natężenia (natężenia oświetlenia, promieniowania)","Dla każdego metalu istnieje pewna częstotliwość graniczna, powyżej której zjawisko fotoelektryczne nie zachodzi","Napięcie hamowania zależy liniowo od częstotliwości padającego światła"
"Zgodnie z teorią Einsteina efekt fotoelektryczny:","Zderzenie fotonu i elektronu","Zderzenie protonu i elektronu","Zderzenie protonu i neutronu","Żadna z odpowiedzi nie jest prawidłowa"
"Które ze stwierdzeń nie jest prawdziwe w przypadku polaryzacji złącza p-n w kierunku zaporowym","Maleje opór wewnętrzny złącza","Bariera potencjału wzrasta o wartość napięcia zewnętrznego","Szerokość obszaru zubożonego wzrasta","Ruch nośników większościowych przez złącze jest praktycznie niemożliwy"
"Doświadczenie, które doprowadziło do odkrycia jądra atomowego to:","Doświadczenie Rutherford’a","Doświadczenie Thomsona","Doświadczenie de Broglie’a","Doświadczenie Younga"
"Dwa równoległe przewodniki, w których prąd płynie w tym samym kierunku:","Przyciągają się","Odpychają się","Nie oddziałują na siebie","Żadne z powyższych"
"Ciało doskonale czarne, wskaż nieprawdziwe:","Zgodnie z prawem Wiena – emisja energetyczna zależy od temperatury w 4 potędze","Długość fali emisyjnej jest odwrotnie proporcjonalna do temperatury","Pochłania promieniowanie","Krzywe emisyjne są zależne tylko od temperatury"
"Wzór na n-ty prążek w doświadczeniu Younga:","nλ = dsinα","λ(n/2) = dsinα","nλ = 2dsinα","dλ = nsin(α/2)"
"Wzór na pęd fotonu","p = h/lambda","p = c · λ/h","p = hc/lambda","p = c/lambda"
"Które ze stwierdzeń nie jest prawdziwe dla efektu fotoelektrycznego","Napięcie hamowania zależy liniowo od częstotliwości padającego światła","Energia kinetyczna emitowanych elektronów jest zależna od długości fali","Energia kinetyczna emitowanych elektronów jest zależna od natężenia światła","Efekt fotoelektryczny zachodzi jedynie do określonej częstotliwości granicznej świtała"
"Zgodnie z postulatami Bohra","Elektron w atomie wodoru porusza się po kołowej orbicie dookoła jądra pod wpływem siły coulombowskiej i zgodnie z prawami dynamiki Newtona","Elektron poruszający się po orbicie stacjonarnej emituje energię elektromagnetyczną","Elektron nie emituje energii podczas zmiany stanów","Elektron może się poruszać po takiej orbicie, dla której moment siły jest równy wielokrotności stałej Planck’a"
"Które ze stwierdzeń dotyczących par Coopera jest prawdziwe:","Ich sumaryczny moment pędu jest równy 0. Pędy poszczególnych elektronów mogą się zmieniać, ale pęd ukadu zostaje taki sam.","Oddziaływania kolumbowskie odpowiadają za odpychanie się elektronów","Posiadają jednakowe spiny","To układ 3 fermionów oddziałujących ze sobą poprzez drgania"
"Które ze stwierdzeń dotyczących lasera He-Ne jest nieprawdziwe","Pompowane są atomy Ne","Laser He-Ne jest laserem elektronowym","Stosunek atomów Ne-He wynosi 1:10","Przejścia laserowe w Ne"
"Które ze stwierdzeń dotyczących siły elektro-dynamicznej jest prawdziwe:","Żadne z powyższych","Siła, z jaką oddziałują ze sobą dwa ładunki","Siła, z jaką oddziałują na siebie dwa przewodniki","Jest to praca, jaka przypada na jednostkowy ładunek (niedokładnie)"
"Doświadczenie, które doprowadziło do odkrycia jądra atomowego było przeprowadzone przez","Rutherford’a","Farradaya","Compton’a","de Broglie’a"
"Które z poniższych zdań dot. interferencji fal świetlnych nie jest prawdziwe?","Warunkiem powstania dobrze określonego obrazu interferencyjnego jest aby interferujące fale świetlne padały z dokładnie określoną, zmienną  w czasie różnicę faz","Różnica dróg optycznych przebytych przez fale składowe decyduje o natężeniu światła w punkcie nałożenia się fal","W każdej chwili wychylenie punktu przestrzeni jest sumą wychyleń docierających do niego zaburzeń falowych","Różnica faz fal składowych decyduje o natężeniu światła w punkcie nałożenia się fal"
"Siła elektrodynamiczna:","Siła, z jaką działa pole magnetyczne na przewód elektryczny, w którym płynie prąd elektryczny.","","",""
"Prawo Ohma w ujęciu mikroskopowym zależy od:","Natężenia pola elektrycznego, gęstości prądu oraz konduktywności","Natężenia pola elektrycznego, gęstości prądu oraz konduktancji","Natężenia prądu, napięcia oraz rezystywności materiału","Natężenia prądu, napięcia"
"Tesla wyrażona w podstawowych jednostkach SI to:","kg/(A*s^2)","(kg*A)/(m*s^2)","(kg*A)/(m*s)","(kg*s)/(m*A)"
"Które zdanie dotyczące kondensatora płaskiego jest prawdziwe:","Włożenie między okładki dielektryka powoduje zwiększenie pojemności.","Wraz ze wzrostem powierzchni okładek zwiększy się pojemność ","Zwiększenie odległości okładek od siebie zwiększy pojemność","Włożenie między okładki dielektryka powoduje zmniejszenie pojemności"
"Które z podanych zdań jest postulatem Bohra:","Elektrony wodoru poruszają się zgodnie z siłami Culombowskimi oraz zasadami Newtona","Podczas krążenia po orbicie elektron emituje promieniowanie x","Podczas przejścia pomiędzy orbitami nie emituje sie energia","Elektron może krążyć tylko po orbitach, dla których moment siły jest wielokrotnością stałej plancka "
"Efekt fotoelektryczny zewnętrzny potwierdził naturę światła:","Korpuskularną","Falową","Cząsteczkowo-falową   ","Żadna z powyższych"
"Wraz ze wzrostem temperatury w przewodniku:","Rezystancja rośnie","Konduktancja rośnie","",""
"Który wzór na energie potencjalną pola elektrycznego jest prawdziwy","k*q*Q/r","-k*q*Q/r","-k*Q/r","k*Q*q/(r^2)"
"Które doświadczenie udowodniło falowość światła:","Younga","","",""
"Zjawisko Halla - wskaż prawdziwe","Uh jest pomiędzy krawędziami przewodnika? ","Uh rośnie wraz z promieniowaniem padającym na przewodnik?","Uh maleje wraz z promieniowaniem padającym na przewodnik?",""
"Długość fali - coś o ciele doskonale czarnym - zgodnie z prawem Wiena jak zależy od temperatury ","1/T","T4","T2","Odwrotność długości fali"
"Które z doświadczeń udowodniło istnienie fal materii","Davissona-Germera","Comptona","Rayleigha-Jeansa","de Brogile’a"
"Które ze stwierdzeń dotyczących lasera rubinowego jest prawdziwe","Pompowane są atomy Cr   ","Coś o metastabilności w Cr","Występuje pompowanie elektronowe","Emisja laserowa występuje pomiędzy poziomem podstawowym a ."
"Zjawisko emisji wymuszonej nie zachodzi dla:","W stanie temrodynamicznie ustalonym","Antyboltzmannowskiego rozkładu obsadzeń poziomów energetycznych","",""
"Które ze stwiedzeń jest prawdziwe w stosunku do prawa załamania","Stosunek sinusa kąta padania do sinusa kąta załamania ma się jak stosunek długości pierwszej fali do drugiej ","Stosunek sinusa kąta załamania do sinusa kąta padania ma się jak stosunek współczynnika załamania drugiego do pierwszego","Stosunek sinusa kąta padania do sinusa kąta załamania ma się jak stosunek współczynnika załamania pierwszego do drugiego","Stosunek sinusa kąta padania do sinusa kąta załamania ma się jak stosunek prędkości drugiej do prędkości pierwszej"
"Które zdanie dla ferromagnetyków jest poprawne.","W zewnętrznym polu układa się zgodnie z liniami pola","W obrębie jednej domeny wypadkowy jest równy 0","Bez zewnętrznego pola ukłądają się liniowo coś tam",""
"Pytanie związane z szerokością przerwy i zjawiskiem tunelowania (chyba w nadprzewodniku).","Wraz ze wzrostem/zmniejszaniem się szerokości bariery ilość przechodzących cząstek nadmiarowych rośnie/maleje liniowo/eskpotencjalnie","","",""
"Który  z postulatów Plancka odnośnie emisji ciała doskonale czarnego jest fałszywy","Energia oscylatora harmonicznego jest całkowitą wielokrotnością h (stałej Plancka) ","żadna odpowiedź nie jest poprawna","Oscylator znajdujący się w stanie stacjonarnym nie emituje ani nie absorbuje energii","Atomy ciałą doskonale czarnego zachowują się jak oscylatory harmoniczne o określonej częstości drgań "
"Indukcyjnośc określa zależność pomiedzy następującymi wielkościami fizycznymi","Natężenie + strumień magnetyczny","","",""
"Półprzewodnik wskaż NIEPOPRAWNĄ odpowiedź","W półprzewodniku typu p elektrony wskakują na poziom ","Półprzewodnik typu p ma domieszkę akceptorową","Półprzewodnik typu n ma domieszkę donorową",""
"Diamagnetyki - wskaż prawdziwe","W polu magnetycznym tworza pole przeciwne do zewnętrzenego  ","namagnesowują się","Ustawiają się przeciwnie do pola magnetycznego","Układają się wzdłuż lini pola"
"Co jest nieprawdziwe na temat ciała doskonale czarnego ","Jest to oscylator Aharmoniczny ","W stanie stacjonarnym nie oddaje ani nie pobiera energii ","Wszystkie odpowiedzi są poprawne",""
"Laser rubinowy - wskaź nieprawdziwe","Wszysktie odpowiedzi są poprawne    ","Pompowane za pomoca optyki","Substancja czynna to korund z domieszkami Cr","Przy przejściu pomiędzy poziomami 2 i 3 wydziela się ciepło"
"Jak wyznaczyć pojemność zastępczą dla kondensatorów połączonych równolegle","C = suma Ci","1/C = suma 1/Ci","C = suma 1/Ci","Żadna z powyższych"
"Wzór całka E x dS = Q/epsilonzero jest matematycznym opisem prawa","Żadna z powyższych (bo krzyż)","Gaussa ","Ampere’a",""
"Liczba masowa/atomowa, wskaż nieprawdziwe:","Liczba atomowa to liczba neutronów","Liczba masowa to liczba Neutronów i protonów","Liczba masowa to liczba nulkeonów","Liczba atomowa to liczba protonów"
"FLUKSON","h/2e","h/e^2","e/2h","e/h^2"
"Nieprawdziwe zdanie o efekcie comptona","Po uderzeniu fotonu w elektron zmieni się długość fali","Rozpraszanie fali elektromagnetycznej na swobodnych elektronach","Zderzenie nieruchomego elektronu i fotonu.","Potwierdza korpuskularną nautrę światła"
"Wyprowadzenie jednostki oporu [Om]","(1kg * 1m^2) / (1s^3 * A^2)","","",""
"Liczba kwantowa która wyznacza rzut orbitalny momentu pędu na wybraną oś to liczba","Magnetyczna","Spinowa","Poboczna","Główna"
"Kto jako pierwszy zaobserwował powstawanie pola magnetycznego pod wpływem płynącego prądu?","Oersted","Lenz","Faraday","Lorenz"
"","","","",""
